"","station_id","year","extreme_type","month","day","flow","sym"
"140","05BB001",1939,"minimum",2,10,5.49,"B"
"141","05BB001",1940,"minimum",3,12,6.43,"B"
"142","05BB001",1941,"minimum",11,23,6.14,NA
"143","05BB001",1942,"minimum",2,17,6.37,"B"
"144","05BB001",1943,"minimum",2,28,5.04,"B"
"145","05BB001",1944,"minimum",3,13,5.55,"B"
"146","05BB001",1945,"minimum",4,11,6.99,NA
"147","05BB001",1946,"minimum",3,14,7.7,"B"
"148","05BB001",1947,"minimum",3,4,7.31,"B"
"149","05BB001",1948,"minimum",1,27,8.41,"B"
"150","05BB001",1949,"minimum",12,11,6.09,"B"
"151","05BB001",1950,"minimum",3,31,5.04,NA
"152","05BB001",1951,"minimum",3,5,4.25,"B"
"153","05BB001",1952,"minimum",4,1,6.06,NA
"154","05BB001",1953,"minimum",2,9,6,"B"
"155","05BB001",1954,"minimum",3,28,6.43,"B"
"156","05BB001",1955,"minimum",2,11,6.74,"B"
"157","05BB001",1956,"minimum",12,6,6.09,"B"
"158","05BB001",1957,"minimum",3,5,5.86,"B"
"159","05BB001",1958,"minimum",3,1,6.14,"B"
"160","05BB001",1959,"minimum",1,3,6.68,"B"
"161","05BB001",1960,"minimum",2,27,7.25,"B"
"162","05BB001",1961,"minimum",1,19,7.59,"B"
"163","05BB001",1962,"minimum",2,5,5.44,"B"
"164","05BB001",1963,"minimum",2,2,6.43,"B"
"165","05BB001",1964,"minimum",3,23,7.31,"B"
"166","05BB001",1965,"minimum",3,18,7.87,"B"
"167","05BB001",1966,"minimum",3,3,7.93,"B"
"168","05BB001",1967,"minimum",3,11,7.53,"B"
"169","05BB001",1968,"minimum",4,22,7.53,NA
"170","05BB001",1969,"minimum",1,31,7.5,"B"
"171","05BB001",1970,"minimum",11,23,5.21,"B"
"172","05BB001",1971,"minimum",3,22,5.41,"B"
"173","05BB001",1972,"minimum",3,1,7.16,"B"
"174","05BB001",1973,"minimum",1,4,6.71,"B"
"175","05BB001",1974,"minimum",3,22,6.09,"B"
"176","05BB001",1975,"minimum",3,8,5.66,"B"
"177","05BB001",1976,"minimum",3,23,5.95,"B"
"178","05BB001",1977,"minimum",11,21,5.83,"B"
"179","05BB001",1978,"minimum",1,30,5.75,"B"
"180","05BB001",1979,"minimum",2,9,5.4,"B"
"181","05BB001",1980,"minimum",3,4,4.14,"B"
"182","05BB001",1981,"minimum",2,10,7.24,"B"
"183","05BB001",1982,"minimum",1,16,6.15,"B"
"184","05BB001",1983,"minimum",12,2,5.83,NA
"185","05BB001",1984,"minimum",3,14,5.91,"B"
"186","05BB001",1985,"minimum",3,3,6.04,"B"
"187","05BB001",1986,"minimum",2,18,5.55,"B"
"188","05BB001",1987,"minimum",11,30,6.19,"B"
"189","05BB001",1988,"minimum",1,5,5.11,"B"
"190","05BB001",1989,"minimum",3,30,6.4,"B"
"191","05BB001",1990,"minimum",3,23,8.12,"B"
"192","05BB001",1991,"minimum",3,2,6.39,"B"
"193","05BB001",1992,"minimum",12,28,6.88,"B"
"194","05BB001",1993,"minimum",2,15,5.64,"B"
"195","05BB001",1994,"minimum",2,25,7.35,"B"
"196","05BB001",1995,"minimum",2,11,4.85,"B"
"197","05BB001",1996,"minimum",2,26,6.51,"B"
"198","05BB001",1997,"minimum",2,28,6.73,"B"
"199","05BB001",1998,"minimum",12,20,6.25,"B"
"200","05BB001",1999,"minimum",1,24,6.68,"B"
"201","05BB001",2000,"minimum",12,11,7.88,"B"
"202","05BB001",2001,"minimum",3,15,6.27,"B"
"203","05BB001",2002,"minimum",3,17,5.58,"B"
"204","05BB001",2003,"minimum",2,23,5.64,"B"
"205","05BB001",2004,"minimum",1,26,7.8,"B"
"206","05BB001",2005,"minimum",3,24,8.44,"B"
"207","05BB001",2006,"minimum",2,18,7.83,"B"
"208","05BB001",2007,"minimum",2,14,7.98,"B"
"209","05BB001",2008,"minimum",3,31,7,"B"
"210","05BB001",2009,"minimum",12,7,6.3,"B"
"211","05BB001",2010,"minimum",4,5,6.4,"B"
"212","05BB001",2011,"minimum",1,30,7.13,"B"
"213","05BB001",2012,"minimum",12,25,6.12,"B"
"214","05BB001",2013,"minimum",1,2,5.31,"B"
"215","05BB001",2014,"minimum",1,28,6.09,"B"
"216","05BB001",2015,"minimum",3,4,6.59,"B"
"217","05BB001",2016,"minimum",3,28,7.7,"B"
"218","05BB001",2018,"minimum",3,31,6.77,"B"
